latin_name,common_name,korean_name,HANJA,chinese_name,pinyin,JAPANESE,KANJI
Cordyceps,,동충하초,冬蟲夏草,冬虫夏草,Dongchongxiacao,,
Coriolus,,운지,雲芝,云芝,Yunzhi,,
Corni Fructus,Cornus Fruit,산수유,山茱萸,山茱萸,Shanzhuyu,サンシュユ,山茱萸
Corydalis Bungeanae Herba,,고지정,苦地丁,苦地丁,Kudiding,,
Corydalis Decumbentis Rhizoma,,하천무,夏天無,夏天无,Xiatianwu,,
Corydalis Tuber,Corydalis Tuber,현호색,玄胡索,延胡索,Yanhusuo,エンゴサク,延胡索
Crataegi Folium,,산사엽,山楂葉,山楂叶,Shanzhaye,,
Crataegi Fructus,Hawthorn Fruit,산사,山楂,山楂,Shanzha,サンザシ,山査子
Cremastrae Tuber,,산자고,山慈姑,山慈菇,Shancigu,,
Crocus,Saffron,번홍화,番紅花,西红花,Xihonghua,サフラン,
Crotonis Semen,Croton Seed,파두,巴豆,巴豆,Badou,,
Cubebae Fructus,,필징가,蓽澄茄,荜澄茄,Bichengqie,,
Curculiginis Rhizoma,,선모,仙茅,仙茅,Xianmao,,
Curcumae Longae Rhizoma,Curcuma Longa Rhizome,강황,薑黃,姜黄,Jianghuang,ウコン,鬱金
Curcumae Radix,Curcuma Root,울금,鬱金,郁金,Yujin,,
Curcumae Rhizoma,Zedoary,아출,莪朮,莪术 片姜黄,Ezhu Pianjianghuang,ガジュツ,莪蒁
Cuscutae Semen,,토사자,菟絲子,菟丝子,Tusizi,,
Cyathulae Radix,,천우슬,川牛膝,川牛膝,Chuanniuxi,,
Cynanchi Atrati Radix Et Rhizoma,,백미,白薇,白薇,Baiwei,,
Cynanchi Paniculati Radix Et Rhizoma,,서장경,徐長卿,徐长卿,Xuchangqing,,
Cynanchi Stauntonii Rhizoma,,백전,白前,白前,Baiqian,,
Cynanchi Wilfordii Radix,,백수오,白首烏,,,,
Cynomorii Herba,Cynomorium Herb,쇄양,鎖陽,锁阳,Suoyang,,
Cyperi Rhizoma,Cyperus Rhizome,향부자,香附子,香附,Xiangfu,コウブシ,香附子
Dalbergiae Odoriferae Lignum,,강향,降香,降香,Jiangxiang,,
Daturae Flos,,양금화,洋金花,洋金花,Yangjinhua,,
Daturae Folium,,만타라엽,曼陀羅葉,,,,
Dendrobii Caulis,,석곡,石斛,石斛,Shihu,,
Dendrobii Officinalis Caulis,,철피석곡,鐵皮石斛,铁皮石斛,Tiepishihu,,
Desmodii Herba,,광금전초,廣金錢草,广金钱草,Guangjinqiancao,,
Dianthi Herba,,구맥,瞿麥,瞿麦,Qumai,,
Dichroae Radix,,상산,常山,常山,Changshan,,
Dictamni Radicis Cortex,Dictamnus Root Bark,백선피,白鮮皮,白鲜皮,Baixianpi,,
